period,bu,cost_center,expense_category,vendor,owner,forecast_spend,actual_spend,invoice_date,accrual_flag,spend_type,variance_basis_code,source_invoice_id
Q1 FY26,Enterprise Solutions,Sales,Travel & Events,Field Enablement Co.,Maya Chen,800000,1150000,2026-03-25,false,Discretionary,events_above_forecast,INV-1001
Q1 FY26,Enterprise Solutions,Customer Success,Services Partner,Onboardly,Leah Ortiz,950000,720000,2026-03-20,false,Variable,partner_usage_below_forecast,INV-1002
Q1 FY26,Growth & Self-Serve,Marketing,Paid Search,AdCore,Avery Singh,2600000,3350000,2026-03-31,false,Discretionary,cac_above_forecast,INV-2001
Q1 FY26,Growth & Self-Serve,Support,Contract Labor,HelpGrid,Samir Patel,900000,760000,2026-03-18,false,Variable,ticket_volume_below_forecast,INV-2002
Q1 FY26,Platform & Data,Cloud Infrastructure,Compute Vendor,Northcloud,Iris Wong,7600000,9400000,2026-03-29,false,Usage-Based,ai_workload_usage_above_plan,INV-3001
Q1 FY26,Platform & Data,Cloud Infrastructure,Storage Vendor,BlockLake,Iris Wong,1700000,2400000,2026-04-02,true,Usage-Based,late_invoice_accrual,INV-3002
Q1 FY26,Platform & Data,Engineering,Contract Engineering,BuildWorks,Iris Wong,1200000,1280000,2026-03-22,false,Project,contractor_extension,INV-3003
Q1 FY26,International Markets,Regional Sales,Channel Rebates,PartnerNet,Marco Conti,1300000,1700000,2026-03-27,false,Variable,rebate_expense_above_forecast,INV-4001
Q1 FY26,International Markets,Localization,Translation Services,LocalizePro,Keiko Tanaka,600000,510000,2026-03-16,false,Project,project_timing_delay,INV-4002
Q2 FY26,Enterprise Solutions,Sales,Travel & Events,Field Enablement Co.,Maya Chen,900000,1120000,2026-06-18,false,Discretionary,events_above_forecast,INV-5101
Q2 FY26,Enterprise Solutions,Customer Success,Services Partner,Onboardly,Leah Ortiz,980000,860000,2026-06-15,false,Variable,partner_usage_below_forecast,INV-5102
Q2 FY26,Growth & Self-Serve,Marketing,Paid Search,AdCore,Avery Singh,2800000,3600000,2026-06-22,false,Discretionary,cac_above_forecast,INV-5201
Q2 FY26,Growth & Self-Serve,Support,Contract Labor,HelpGrid,Samir Patel,950000,1040000,2026-06-14,false,Variable,ticket_volume_above_forecast,INV-5202
Q2 FY26,Platform & Data,Cloud Infrastructure,Compute Vendor,Northcloud,Iris Wong,8300000,9900000,2026-06-21,false,Usage-Based,ai_workload_usage_above_forecast,INV-5301
Q2 FY26,Platform & Data,Cloud Infrastructure,Storage Vendor,BlockLake,Iris Wong,2100000,2500000,2026-07-02,true,Usage-Based,storage_invoice_accrual,INV-5302
Q2 FY26,Platform & Data,Engineering,Contract Engineering,BuildWorks,Iris Wong,1300000,1420000,2026-06-20,false,Project,contractor_extension,INV-5303
Q2 FY26,International Markets,Regional Sales,Channel Rebates,PartnerNet,Marco Conti,1500000,1900000,2026-06-24,false,Variable,rebate_accrual_above_forecast,INV-5401
Q2 FY26,International Markets,Localization,Translation Services,LocalizePro,Keiko Tanaka,650000,780000,2026-06-16,false,Project,project_catchup_spend,INV-5402
