metric,driver_category,description,temporary_or_structural,primary_dimensions
Bookings,Pipeline Slippage,Expected commercial value moved outside the selected period,Temporary,"opportunity_id,account_name,owner,close_date,forecast_category"
Bookings,Closed Lost,Expected opportunity value did not close and is no longer recoverable,Structural,"opportunity_id,account_name,owner,outcome_code,source_note_id"
Bookings,Deal Amount Change,Closed-won opportunity amount changed positively or negatively versus the start-of-quarter snapshot,Execution,"opportunity_id,account_name,owner,product,segment"
Bookings,Pull-In,Future-period opportunity closed in the current period,Timing Offset,"opportunity_id,account_name,owner,close_date"
Bookings,New In-Quarter Deal,Opportunity created after start of quarter and closed in quarter,Commercial Upside,"opportunity_id,account_name,created_date,close_date"
Bookings,Forecast Category Change,Opportunity moved between commit best-case pipeline or omitted,Forecast Quality,"opportunity_id,account_name,forecast_category"
Revenue,Pricing / Discounting,Recognized revenue changed because realized rate or discounting differed from baseline,Execution,"gl_account,product,bu,customer_segment"
Revenue,Volume / Usage,"Recognized revenue changed because installed-base seats, usage, renewal, expansion, contraction, or churn differed from baseline",Execution,"account_name,product,bu,segment,unit_of_measure"
Revenue,Product / Customer Mix,"Recognized revenue changed because the mix of products, customers, segments, or regions differed from baseline",Structural / Mix,"gl_account,product,bu,segment,region"
Revenue,Recognition Timing,Recognized revenue moved between periods due to service dates billing starts or rev rec schedules,Temporary,"gl_account,product,bu,fiscal_period"
Revenue,Credits / Concessions,"Credits, concessions, true-ups, or adjustments changed recognized revenue",One-Time,"gl_account,product,bu,journal_id"
COGS,Cloud / Infrastructure,Hosting compute storage or AI inference costs changed versus baseline,Execution,"gl_account,cost_center,vendor,product,bu"
COGS,Support Delivery,Support implementation or service delivery costs changed versus baseline,Execution,"gl_account,cost_center,vendor,department,bu"
OpEx,Workforce,Salary bonus benefits headcount or contractor coverage differed from plan,Execution,"gl_account,cost_center,department,bu"
OpEx,Vendor / Third-Party,Third-party services software partners or contractors differed from plan,Execution,"gl_account,cost_center,department,vendor,bu"
OpEx,Discretionary Spend,Travel events campaigns or discretionary programs differed from plan,Execution,"gl_account,cost_center,department,vendor,bu"
OpEx,Timing / Accruals,Invoices or accruals landed in a different period than planned,Temporary,"gl_account,cost_center,vendor,posting_date,period"
